Id,HomeTeamNumberOfSeasonsInPL,HomeTeamIsFromBigSix,HomeTeamIsNewInPL,HomeTeamRedCardsInLastMatch,HomeTeamCurrentSeasonPointsPerMatchHome,HomeTeamCurrentSeasonDrawsPerMatch,HomeTeamCurrentSeasonDrawsPerMatchHome,HomeTeamCurrentSeasonLosesPerMatch,HomeTeamCurrentSeasonGoalsScoredPerMatchHome,HomeTeamCurrentSeasonGoalsConcededPerMatch,HomeTeamCurrentSeasonGoalsConcededPerMatchHome,HomeTeamCurrentSeasonCleanSheatsPerMatch,HomeTeamCurrentSeasonCleanSheatsPerMatchHome,HomeTeamLastSeasonDrawsPerMatch,HomeTeamLastSeasonDrawsPerMatchHome,HomeTeamLastSeasonGoalsConcededPerMatchHome,HomeTeamLastSeasonCleanSheatsPerMatch,HomeTeamLast3SeasonsDrawsPerMatchHome,HomeTeamLast6SeasonsDrawsPerMatchHome,HomeTeamLast9SeasonsDrawsPerMatch,HomeTeamLast9SeasonsGoalsScoredPerMatch,HomeTeamLast5MatchesPointsPerMatch,HomeTeamLast5MatchesDrawsPerMatch,HomeTeamLast5MatchesGoalsScoredPerMatch,HomeTeamLast5MatchesGoalsConcededPerMatch,HomeTeamLast5MatcheCleanSheatsPerMatch,HomeTeamLastH2HMAtchGoalsScoredHome,HomeTeamLastH2HMatchGoalsConcededHome,HomeTeamLast4H2HMatchesWinsPerMatchHome,HomeTeamLast4H2HMatchesDrawsPerMatchHome,HomeTeamLast4H2HMatchesLosesPerMatchHome,HomeTeamLast4H2HMatchesGoalsScoredPerMatchHome,HomeTeamLast4H2HMatchesCleanSheatsPerMatchHome,HomeTeamLastH2HMatchResultHome,AwayTeamNumberOfSeasonsInPL,AwayTeamIsFromBigSix,AwayTeamIsNewInPL,AwayTeamRedCardsInLastMatch,AwayTeamCurrentSeasonPointsPerMatchAaway,AwayTeamCurrentSeasonDrawsPerMatch,AwayTeamCurrentSeasonDrawsPerMatchAway,AwayTeamCurrentSeasonLosesPerMatch,AwayTeamCurrentSeasonLosesPerMatchAway,AwayTeamCurrentSeasonGoalsScoredPerMatchAway,AwayTeamCurrentSeasonGoalsConcededPerMatch,AwayTeamCurrentSeasonGoalsConcededPerMatchAway,AwayTeamCurrentSeasonCleanSheatsPerMatch,AwayTeamCurrentSeasonCleanSheatsPerMatchAway,AwayTeamLastSeasonDrawsPerMatch,AwayTeamLastSeasonDrawsPerMatchAway,AwayTeamLastSeasonGoalsConcededPerMatchAway,AwayTeamLastSeasonCleanSheatsPerMatch,AwayTeamLast3SeasonsDrawsPerMatchAway,AwayTeamLast6SeasonsDrawsPerMatchAway,AwayTeamLast6SeasonsLosesPerMatch,AwayTeamLast9SeasonsDrawsPerMatch,AwayTeamLast5MatchesPointsPerMatch,AwayTeamLast5MatchesDrawsPerMatch,AwayTeamLast5MatchesGoalsScoredPerMatch,AwayTeamLast5MatchesGoalsConcededPerMatch,AwayTeamLast5MatcheCleanSheatsPerMatch,AwayTeamLast4H2HMatchesGoalsScoredPerMatchAway,AwayTeamLast4H2HMatchesCleanSheatsPerMatchAway,AwayTeamLastH2HMatchResultAway,FullTimeResult
867,0.33333333333333,0,0,1,2,0.3,0.2,0.4,1.6,1,0.6,0.5,0.6,0.23684210526316,0.26315789473684,1.3684210526316,0.21052631578947,0.35087719298246,0.31578947368421,0.24310776942356,1.0964912280702,1.2,0.6,1,0.8,0.6,1,2,0.33333333333333,0,0.66666666666667,1.3333333333333,0,L,1,1,0,0,1.6,0.5,0.4,0.4,0,1.6,1.1,1,0.3,0.4,0.18421052631579,0.10526315789474,1.5789473684211,0.44736842105263,0.17543859649123,0.24561403508772,0.20614035087719,0.23976608187135,1.6,0.4,1.6,1,0.4,2,0.33333333333333,W,H
868,1,1,0,0,1.2,0.2,0,0.4,1.2,1.4,1.2,0.3,0.4,0.15789473684211,0.15789473684211,1.2105263157895,0.36842105263158,0.19298245614035,0.23684210526316,0.25438596491228,1.5497076023392,1.4,0.2,1.2,1.6,0.2,3,0,0.5,0.5,0,1.75,0.5,W,0.58333333333333,0,0,0,1,0.3,0.4,0.3,0,1,1.2,1.4,0.2,0.2,0.28947368421053,0.26315789473684,1.8421052631579,0.23684210526316,0.29824561403509,0.28070175438596,0.39912280701754,0.24561403508772,1.4,0.2,1.2,1.4,0.2,0.75,0.25,L,A
869,0.66666666666667,0,0,0,1.2,0.4,0.6,0.3,2,1.3,1.6,0.4,0.2,0.39473684210526,0.47368421052632,1.4210526315789,0.18421052631579,0.28070175438596,0.29605263157895,0.24385964912281,1.0368421052632,1.6,0.4,2,1.2,0.4,1,0,0.5,0.25,0.25,1.5,0.25,W,0.91666666666667,0,0,0,1,0.4,0.4,0.3,0,0.8,1.5,1.6,0.3,0.2,0.10526315789474,0.052631578947368,1.6315789473684,0.26315789473684,0.19298245614035,0.19736842105263,0.45065789473684,0.24162679425837,2,0.2,1.2,0.8,0.4,1.25,0,L,A
870,1,1,0,0,1.8,0.45454545454545,0.6,0.36363636363636,2,1.1818181818182,1.2,0.27272727272727,0.2,0.18421052631579,0.26315789473684,0.57894736842105,0.44736842105263,0.24561403508772,0.21929824561404,0.23976608187135,1.8771929824561,1.4,0.2,1.6,1.2,0.4,0,0,0.25,0.5,0.25,0.75,0.5,D,1,1,0,0,0.6,0.36363636363636,0.6,0.36363636363636,0,1.2,1.2727272727273,1.8,0.27272727272727,0.2,0.18421052631579,0.21052631578947,1.1578947368421,0.34210526315789,0.21052631578947,0.25438596491228,0.16228070175439,0.16666666666667,1.6,0.4,1.2,1,0.2,0.75,0.25,D,A
871,1,1,0,0,3,0.18181818181818,0,0.81818181818182,2.6,1,0.6,0.27272727272727,0.6,0.18421052631579,0.15789473684211,0.57894736842105,0.47368421052632,0.19298245614035,0.18421052631579,0.21052631578947,1.906432748538,2.6,0.2,1.8,0.8,0.2,2,2,0.75,0.25,0,2.75,0.5,D,0.66666666666667,0,0,0,1.4,0.36363636363636,0.2,0.27272727272727,0,0.6,1.3636363636364,1,0.36363636363636,0.6,0.39473684210526,0.31578947368421,1.6842105263158,0.18421052631579,0.24561403508772,0.21052631578947,0.47039473684211,0.24385964912281,1,0.4,1.2,1.6,0.2,0.75,0,D,H
872,1,0,0,0,1,0.45454545454545,0.4,0.27272727272727,2,1.6363636363636,2.2,0.27272727272727,0.4,0.23684210526316,0.15789473684211,1,0.39473684210526,0.21052631578947,0.2719298245614,0.30409356725146,1.3830409356725,1.6,0.4,1.6,0.8,0.4,1,0,0.5,0.5,0,1.75,0.5,W,0.75,0,0,0,1.6,0.27272727272727,0.4,0.45454545454545,0,2.2,1.2727272727273,1.6,0.18181818181818,0,0.18421052631579,0.21052631578947,1.3157894736842,0.36842105263158,0.2,0.25657894736842,0.46052631578947,0.23923444976077,2.2,0.4,1.8,0.8,0.4,1,0,L,H
873,0.16666666666667,0,1,0,1.2,0.27272727272727,0.6,0.18181818181818,2,1.6363636363636,1.8,0.090909090909091,0,0.19298245614035,0.21052631578947,1.3859649122807,0.25438596491228,0.29824561403509,0.30116959064327,0.23976608187135,1.0808966861598,0.2,0.2,0.4,1.6,0,1.0175438596491,1.0175438596491,0.34210526315789,0.28947368421053,0.36842105263158,1.2368421052632,0.28947368421053,D,0.75,0,0,0,1,0.54545454545455,0.4,0.18181818181818,0,1,1.7272727272727,2.4,0.18181818181818,0.2,0.21052631578947,0.26315789473684,1.7368421052632,0.28947368421053,0.24561403508772,0.26315789473684,0.45175438596491,0.24641148325359,1.4,0.2,1.4,2.6,0,1.0789473684211,0.23684210526316,D,D
874,1,1,0,0,2,0.27272727272727,0.2,0.54545454545455,1.8,1.0909090909091,0.8,0.27272727272727,0.2,0.13157894736842,0.052631578947368,0.68421052631579,0.42105263157895,0.087719298245614,0.1140350877193,0.19883040935673,1.6637426900585,2,0.2,2,1,0.4,3,0,1,0,0,2.6666666666667,1,W,0.33333333333333,0,0,0,1,0.27272727272727,0.4,0.45454545454545,0,1,1,1.4,0.45454545454545,0.4,0.23684210526316,0.21052631578947,1.4736842105263,0.21052631578947,0.2280701754386,0.21929824561404,0.45833333333333,0.24310776942356,1.6,0.4,1.4,1,0.4,0,0,L,H
875,0.91666666666667,0,0,0,1.6,0.36363636363636,0.4,0.36363636363636,1.4,1.3636363636364,1.4,0.36363636363636,0.4,0.10526315789474,0.15789473684211,1.4736842105263,0.26315789473684,0.15789473684211,0.28947368421053,0.24162679425837,1.1531100478469,2.6,0.2,1.6,0.6,0.6,1,0,1,0,0,1,1,W,0.25,0,1,0,0,0.18181818181818,0,0.18181818181818,0,0.4,2,2.8,0.18181818181818,0,0.19298245614035,0.17543859649123,1.6842105263158,0.25438596491228,0.17894736842105,0.20300751879699,0.5,0.23226544622426,0.8,0.2,1.4,1.8,0.2,0,0,L,H
876,0.58333333333333,0,0,0,1.4,0.27272727272727,0.2,0.36363636363636,1,1.1818181818182,1,0.18181818181818,0.2,0.28947368421053,0.31578947368421,0.89473684210526,0.23684210526316,0.36842105263158,0.31578947368421,0.24561403508772,1.0017543859649,1.4,0.2,1.4,1.6,0,2,0,1,0,0,2,1,W,0.16666666666667,0,1,0,0.4,0.36363636363636,0.4,0.090909090909091,0,0.4,1.7272727272727,2,0.36363636363636,0.2,0.19298245614035,0.17543859649123,1.6842105263158,0.25438596491228,0.19883040935673,0.21052631578947,0.48684210526316,0.23578947368421,0.8,0.2,1,2.2,0.2,0,0,L,A
877,0.25,0,0,0,0.8,0.27272727272727,0.2,0.18181818181818,1,1.8181818181818,1.6,0.18181818181818,0.4,0.15789473684211,0.15789473684211,1.2105263157895,0.31578947368421,0.31578947368421,0.30921052631579,0.24210526315789,1.0936842105263,0.2,0.2,0.8,2,0,3,3,0.5,0.5,0,2,0.5,D,1,1,0,0,1.2,0.18181818181818,0,0.36363636363636,0,1.6,1.3636363636364,1.8,0.18181818181818,0.2,0.15789473684211,0.26315789473684,1.6842105263158,0.26315789473684,0.2280701754386,0.2280701754386,0.24561403508772,0.24561403508772,1.4,0.2,1.2,1.2,0.2,1.5,0,D,H
878,0.33333333333333,0,0,0,1,0.45454545454545,0.4,0.18181818181818,1.4,1.3636363636364,1.6,0.27272727272727,0.2,0.18421052631579,0.21052631578947,1.1052631578947,0.26315789473684,0.32330827067669,0.32017543859649,0.24812030075188,1.1177944862155,1,0.4,0.8,0.8,0.4,1,1,0,0.33333333333333,0.66666666666667,1,0,D,1,1,0,1,1.6,0.18181818181818,0.4,0.36363636363636,0,1.4,1.4545454545455,1.6,0.27272727272727,0.2,0.15789473684211,0.15789473684211,1.4736842105263,0.36842105263158,0.2280701754386,0.23684210526316,0.26754385964912,0.25438596491228,1.2,0,1.2,1.8,0.2,2.6666666666667,0,D,A
879,1,0,0,0,0.8,0.18181818181818,0.2,0.27272727272727,0.6,1.4545454545455,1.6,0.36363636363636,0.2,0.21052631578947,0.15789473684211,1.5263157894737,0.23684210526316,0.26315789473684,0.34210526315789,0.33040935672515,1.266081871345,0.2,0.2,0.2,1.8,0.2,0,0,0.5,0.25,0.25,0.75,0.75,D,0.41666666666667,0,0,0,1.8,0.090909090909091,0,0.72727272727273,0,1.2,0.45454545454545,0.8,0.63636363636364,0.4,0.28947368421053,0.26315789473684,1.2105263157895,0.39473684210526,0.24210526315789,0.22556390977444,0.45112781954887,0.24599542334096,2.4,0,2.4,0.2,0.8,0.25,0.5,D,D
880,0.16666666666667,0,1,0,0.83333333333333,0.33333333333333,0.33333333333333,0.16666666666667,0.66666666666667,1.6666666666667,1.5,0.33333333333333,0.5,0.19298245614035,0.21052631578947,1.3859649122807,0.25438596491228,0.29824561403509,0.28947368421053,0.23578947368421,1.0936842105263,1.2,0,1,2,0.2,1,1,0,1,0,1,0,D,1,0,0,0,1.1666666666667,0.25,0.16666666666667,0.25,0,0.33333333333333,1.4166666666667,1.3333333333333,0.33333333333333,0.5,0.21052631578947,0.26315789473684,1.6842105263158,0.23684210526316,0.36842105263158,0.28947368421053,0.3640350877193,0.33040935672515,0.4,0.4,0.4,1.6,0.2,1,0,D,D
881,1,1,0,0,1.3333333333333,0.16666666666667,0.33333333333333,0.33333333333333,1,1.5,1,0.16666666666667,0.16666666666667,0.15789473684211,0.052631578947368,0.94736842105263,0.26315789473684,0.28070175438596,0.26315789473684,0.24561403508772,1.7456140350877,0.8,0.2,1,1.6,0.2,1,0,0.5,0.5,0,0.75,1,W,0.58333333333333,0,0,0,1.3333333333333,0.25,0.33333333333333,0.33333333333333,0,1.1666666666667,1.25,1.3333333333333,0.16666666666667,0.16666666666667,0.28947368421053,0.26315789473684,1.8421052631579,0.23684210526316,0.29824561403509,0.28070175438596,0.39912280701754,0.24561403508772,1.4,0.2,1.4,1.4,0,0,0.5,L,H
882,1,1,0,0,2.1666666666667,0.33333333333333,0.16666666666667,0.41666666666667,1.8333333333333,1.25,0.83333333333333,0.25,0.33333333333333,0.18421052631579,0.15789473684211,1.1052631578947,0.34210526315789,0.087719298245614,0.078947368421053,0.16666666666667,2.0643274853801,1.6,0.4,1.2,1,0.2,3,1,1,0,0,3.6666666666667,0.33333333333333,W,0.33333333333333,0,0,1,1,0.41666666666667,0.5,0.16666666666667,0,1,1.4166666666667,1.1666666666667,0.25,0.33333333333333,0.18421052631579,0.15789473684211,1.6842105263158,0.26315789473684,0.20300751879699,0.23245614035088,0.46491228070175,0.24812030075188,0.4,0.4,0.6,1.2,0.2,1.3333333333333,0,L,H
