Id,HomeTeam,HomeIsFromBigSix,HomeIsNewInPL,HomeRedCardsInLastMatch,AwayTeam,AwayIsFromBigSix,AwayIsNewInPL,AwayRedCardsInLastMatch,FullTimeResult
291,Cardiff,0,1,0,Liverpool,1,1,0,A
292,Chelsea,1,1,2,Arsenal,1,1,0,H
293,Everton,0,1,0,Swansea,0,1,0,H
294,Hull,0,1,0,West Brom,0,1,0,H
295,Man City,1,1,1,Fulham,0,1,0,H
296,Newcastle,0,1,0,Crystal Palace,0,1,0,H
297,Norwich,0,1,0,Sunderland,0,1,0,H
298,West Ham,0,1,0,Man United,1,1,1,A
299,Aston Villa,0,1,0,Stoke,0,1,0,A
300,Tottenham,1,1,0,Southampton,0,1,0,H
301,Arsenal,1,1,1,Swansea,0,1,0,D
302,Man United,1,1,0,Man City,1,1,0,A
303,Newcastle,0,1,0,Everton,0,1,0,A
304,Liverpool,1,1,0,Sunderland,0,1,1,H
305,West Ham,0,1,0,Hull,0,1,0,H
306,Arsenal,1,1,0,Man City,1,1,0,D
307,Crystal Palace,0,1,0,Chelsea,1,1,0,H
308,Man United,1,1,0,Aston Villa,0,1,0,H
309,Southampton,0,1,0,Newcastle,0,1,0,H
310,Stoke,0,1,0,Hull,0,1,1,H
311,Swansea,0,1,0,Norwich,0,1,0,H
312,West Brom,0,1,0,Cardiff,0,1,0,D
313,Fulham,0,1,1,Everton,0,1,0,A
314,Liverpool,1,1,0,Tottenham,1,1,0,H
315,Sunderland,0,1,0,West Ham,0,1,0,A
316,Aston Villa,0,1,0,Fulham,0,1,0,A
317,Cardiff,0,1,0,Crystal Palace,0,1,0,A
318,Chelsea,1,1,0,Stoke,0,1,0,H
319,Hull,0,1,0,Swansea,0,1,0,H
320,Man City,1,1,0,Southampton,0,1,0,H
321,Newcastle,0,1,0,Man United,1,1,0,A
322,Norwich,0,1,0,West Brom,0,1,0,A
323,Everton,0,1,0,Arsenal,1,1,0,H
324,West Ham,0,1,0,Liverpool,1,1,0,A
325,Tottenham,1,1,0,Sunderland,0,1,0,H
326,Crystal Palace,0,1,0,Aston Villa,0,1,0,H
327,Fulham,0,1,0,Norwich,0,1,0,H
328,Southampton,0,1,0,Cardiff,0,1,0,A
329,Stoke,0,1,0,Newcastle,0,1,0,H
330,Sunderland,0,1,0,Everton,0,1,0,A
331,West Brom,0,1,0,Tottenham,1,1,0,D
332,Liverpool,1,1,0,Man City,1,1,0,H
333,Swansea,0,1,0,Chelsea,1,1,0,A
334,Arsenal,1,1,0,West Ham,0,1,0,H
335,Everton,0,1,0,Crystal Palace,0,1,0,A
336,Man City,1,1,0,Sunderland,0,1,0,D
337,Aston Villa,0,1,0,Southampton,0,1,0,D
338,Cardiff,0,1,0,Stoke,0,1,0,D
339,Chelsea,1,1,0,Sunderland,0,1,0,A
340,Newcastle,0,1,0,Swansea,0,1,1,A
341,Tottenham,1,1,0,Fulham,0,1,0,H
342,West Ham,0,1,0,Crystal Palace,0,1,0,A
343,Everton,0,1,0,Man United,1,1,0,H
344,Hull,0,1,0,Arsenal,1,1,0,A
345,Norwich,0,1,0,Liverpool,1,1,1,A
346,Man City,1,1,0,West Brom,0,1,0,H
347,Fulham,0,1,0,Hull,0,1,0,D
348,Man United,1,1,0,Norwich,0,1,0,H
349,Southampton,0,1,0,Everton,0,1,0,H
350,Stoke,0,1,0,Tottenham,1,1,0,A
351,Swansea,0,1,0,Aston Villa,0,1,0,H
352,West Brom,0,1,0,West Ham,0,1,0,H
353,Crystal Palace,0,1,0,Man City,1,1,0,A
354,Liverpool,1,1,0,Chelsea,1,1,0,A
355,Sunderland,0,1,0,Cardiff,0,1,0,H
356,Arsenal,1,1,0,Newcastle,0,1,0,H
357,Aston Villa,0,1,0,Hull,0,1,0,H
358,Everton,0,1,0,Man City,1,1,0,A
359,Man United,1,1,0,Sunderland,0,1,0,A
360,Newcastle,0,1,0,Cardiff,0,1,1,H
361,Stoke,0,1,1,Fulham,0,1,0,H
362,Swansea,0,1,0,Southampton,0,1,0,A
363,West Ham,0,1,0,Tottenham,1,1,0,H
364,Arsenal,1,1,0,West Brom,0,1,0,H
365,Chelsea,1,1,0,Norwich,0,1,0,D
366,Crystal Palace,0,1,0,Liverpool,1,1,0,D
367,Man United,1,1,0,Hull,0,1,0,H
368,Man City,1,1,0,Aston Villa,0,1,0,H
369,Sunderland,0,1,0,West Brom,0,1,0,H
370,Cardiff,0,1,0,Chelsea,1,1,0,A
371,Fulham,0,1,0,Crystal Palace,0,1,0,D
372,Hull,0,1,0,Everton,0,1,0,A
373,Liverpool,1,1,0,Newcastle,0,1,0,H
374,Man City,1,1,0,West Ham,0,1,0,H
375,Norwich,0,1,0,Arsenal,1,1,0,A
376,Southampton,0,1,0,Man United,1,1,0,D
377,Sunderland,0,1,0,Swansea,0,1,0,A
378,Tottenham,1,1,1,Aston Villa,0,1,0,H
379,West Brom,0,1,0,Stoke,0,1,0,A
380,Arsenal,1,0,0,Crystal Palace,0,0,0,H
381,Leicester,0,1,0,Everton,0,0,0,D
382,Man United,1,0,0,Swansea,0,0,0,A
383,QPR,0,1,0,Hull,0,0,0,A
384,Stoke,0,0,0,Aston Villa,0,0,0,A
385,West Brom,0,0,0,Sunderland,0,0,0,D
386,West Ham,0,0,0,Tottenham,1,0,0,A
387,Liverpool,1,0,0,Southampton,0,0,0,H
388,Newcastle,0,0,0,Man City,1,0,0,A
389,Burnley,0,1,0,Chelsea,1,0,0,A
390,Aston Villa,0,0,0,Newcastle,0,0,0,D
391,Chelsea,1,0,0,Leicester,0,1,0,H
392,Crystal Palace,0,0,1,West Ham,0,0,1,A
393,Everton,0,0,0,Arsenal,1,0,0,D
394,Southampton,0,0,0,West Brom,0,0,0,D
395,Swansea,0,0,0,Burnley,0,1,0,H
396,Hull,0,0,0,Stoke,0,0,0,D
397,Sunderland,0,0,0,Man United,1,0,0,D
398,Tottenham,1,0,1,QPR,0,1,0,H
399,Man City,1,0,0,Liverpool,1,0,0,H
400,Burnley,0,1,0,Man United,1,0,0,D
401,Everton,0,0,0,Chelsea,1,0,0,A
402,Man City,1,0,0,Stoke,0,0,0,A
403,Newcastle,0,0,1,Crystal Palace,0,0,0,D
404,QPR,0,1,0,Sunderland,0,0,0,H
405,Swansea,0,0,0,West Brom,0,0,0,H
406,West Ham,0,0,0,Southampton,0,0,0,A
407,Aston Villa,0,0,0,Hull,0,0,1,H
408,Leicester,0,1,0,Arsenal,1,0,0,D
409,Tottenham,1,0,0,Liverpool,1,0,0,A
410,Arsenal,1,0,0,Man City,1,0,0,D
411,Chelsea,1,0,0,Swansea,0,0,0,H
412,Crystal Palace,0,0,0,Burnley,0,1,0,D
413,Liverpool,1,0,0,Aston Villa,0,0,0,A
414,Southampton,0,0,0,Newcastle,0,0,0,H
415,Stoke,0,0,0,Leicester,0,1,0,A
416,Sunderland,0,0,0,Tottenham,1,0,0,D
417,West Brom,0,0,0,Everton,0,0,0,A
418,Man United,1,0,0,QPR,0,1,0,H
419,Hull,0,0,0,West Ham,0,0,0,D
420,Aston Villa,0,0,0,Arsenal,1,0,0,A
421,Burnley,0,1,0,Sunderland,0,0,0,D
422,Newcastle,0,0,0,Hull,0,0,0,D
423,QPR,0,1,0,Stoke,0,0,0,D
424,Swansea,0,0,0,Southampton,0,0,0,A
425,West Ham,0,0,0,Liverpool,1,0,0,H
426,Everton,0,0,0,Crystal Palace,0,0,0,A
427,Leicester,0,1,0,Man United,1,0,0,H
428,Man City,1,0,0,Chelsea,1,0,0,D
429,Tottenham,1,0,0,West Brom,0,0,0,A
430,Arsenal,1,0,0,Tottenham,1,0,0,D
431,Chelsea,1,0,0,Aston Villa,0,0,0,H
432,Crystal Palace,0,0,0,Leicester,0,1,0,H
433,Hull,0,0,0,Man City,1,0,1,A
434,Liverpool,1,0,0,Everton,0,0,0,D
435,Man United,1,0,1,West Ham,0,0,0,H
436,Southampton,0,0,0,QPR,0,1,0,H
437,Sunderland,0,0,0,Swansea,0,0,1,D
438,West Brom,0,0,0,Burnley,0,1,0,H
439,Stoke,0,0,0,Newcastle,0,0,0,H
440,Aston Villa,0,0,0,Man City,1,0,0,A
441,Hull,0,0,0,Crystal Palace,0,0,0,H
442,Leicester,0,1,0,Burnley,0,1,0,D
443,Liverpool,1,0,0,West Brom,0,0,0,H
444,Sunderland,0,0,0,Stoke,0,0,0,H
445,Swansea,0,0,1,Newcastle,0,0,0,D
446,Chelsea,1,0,0,Arsenal,1,0,0,H
447,Man United,1,0,1,Everton,0,0,0,H
448,Tottenham,1,0,0,Southampton,0,0,0,H
449,West Ham,0,0,0,QPR,0,1,0,H
450,Arsenal,1,0,0,Hull,0,0,0,D
451,Burnley,0,1,0,West Ham,0,0,0,A
452,Crystal Palace,0,0,0,Chelsea,1,0,0,A
453,Everton,0,0,0,Aston Villa,0,0,0,H
454,Man City,1,0,0,Tottenham,1,0,0,H
455,Newcastle,0,0,0,Leicester,0,1,0,H
456,Southampton,0,0,0,Sunderland,0,0,0,H
457,QPR,0,1,0,Liverpool,1,0,0,A
458,Stoke,0,0,0,Swansea,0,0,0,H
459,West Brom,0,0,0,Man United,1,0,0,D
460,Liverpool,1,0,0,Hull,0,0,0,D
461,Southampton,0,0,0,Stoke,0,0,0,H
462,Sunderland,0,0,0,Arsenal,1,0,0,A
463,Swansea,0,0,0,Leicester,0,1,0,H
464,West Brom,0,0,0,Crystal Palace,0,0,1,D
465,West Ham,0,0,0,Man City,1,0,0,H
466,Burnley,0,1,0,Everton,0,0,0,A
467,Man United,1,0,0,Chelsea,1,0,1,D
468,Tottenham,1,0,1,Newcastle,0,0,0,A
469,QPR,0,1,0,Aston Villa,0,0,0,H
470,Arsenal,1,0,0,Burnley,0,1,0,H
471,Chelsea,1,0,1,QPR,0,1,0,H
472,Everton,0,0,0,Swansea,0,0,0,D
473,Hull,0,0,0,Southampton,0,0,0,A
474,Leicester,0,1,0,West Brom,0,0,0,A
475,Newcastle,0,0,0,Liverpool,1,0,0,H
476,Stoke,0,0,0,West Ham,0,0,0,D
477,Aston Villa,0,0,0,Tottenham,1,0,0,A
478,Man City,1,0,0,Man United,1,0,0,H
479,Crystal Palace,0,0,0,Sunderland,0,0,0,A
480,Burnley,0,1,0,Hull,0,0,0,H
481,Liverpool,1,0,0,Chelsea,1,0,0,A
482,Man United,1,0,1,Crystal Palace,0,0,1,H
483,QPR,0,1,0,Man City,1,0,0,D
484,Southampton,0,0,0,Leicester,0,1,0,H
485,West Ham,0,0,0,Aston Villa,0,0,1,D
486,Sunderland,0,0,0,Everton,0,0,0,D
487,Swansea,0,0,1,Arsenal,1,0,0,H
488,Tottenham,1,0,0,Stoke,0,0,0,A
489,West Brom,0,0,0,Newcastle,0,0,0,A
490,Arsenal,1,0,0,Man United,1,0,0,A
491,Chelsea,1,0,0,West Brom,0,0,0,H
492,Everton,0,0,0,West Ham,0,0,0,H
493,Leicester,0,1,0,Sunderland,0,0,0,D
494,Man City,1,0,0,Swansea,0,0,0,H
495,Newcastle,0,0,0,QPR,0,1,0,H
496,Stoke,0,0,0,Burnley,0,1,0,A
497,Crystal Palace,0,0,0,Liverpool,1,0,0,H
498,Hull,0,0,0,Tottenham,1,0,1,A
499,Aston Villa,0,0,0,Southampton,0,0,0,D
500,Burnley,0,1,0,Aston Villa,0,0,0,D
501,Liverpool,1,0,0,Stoke,0,0,0,H
502,Man United,1,0,0,Hull,0,0,1,H
503,QPR,0,1,0,Leicester,0,1,0,H
504,Sunderland,0,0,0,Chelsea,1,0,0,D
505,Swansea,0,0,0,Crystal Palace,0,0,0,D
506,West Brom,0,0,1,Arsenal,1,0,0,A
507,West Ham,0,0,0,Newcastle,0,0,0,H
508,Southampton,0,0,0,Man City,1,0,0,A
